"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81","Z82","Z83","Z84","Z85","Z86","Z87"
"SC126",0.310141897656908,0.610520756486915,-0.815143842012584,-0.344290437257932,-0.145343525568573,0.832486773137459,0.091179498324557,-0.544202028905026,0.739487090499887,0.598249376320996,0.566592589664587,0.988202466245105,0.373787615893389,-2.7128864421977,-1.06008285758223,0.168841468930081,-0.175501108632595,0.70667437985757,0.667608148086714,0.446598191049802,-0.707067221996224,0.280882851642029,0.807242508302242,0.375326192301277,0.50183992775659,1.0977357744293,1.61476615022386,0.592790554786129,0.890486886211849,0.57001058579217,-0.0038610259727358,0.451203846717335,0.354478260790203,0.425425838368958,0.636135361518369,0.807232777998042,-0.124012999705714,-0.88892494730184,-1.10931434152219,0.372674765736949,0.259167784629667,0.552426577357771,-0.501564245633799,0.637537372438365,0.748272730189179,0.12081322045366,0.590529799256063,0.967557775774086,-0.621669257679502,0.820874424977954,0.0915376525112608,-1.12176732254778,0.596275701821437,0.688032783843838,-0.631765630583749,-1.83483864851041,0.883462089948896,0.119071521840928,0.976701371003108,0.63056014369085,0.313662474878806,-0.0463135048584039,0.620391448970354,-0.928292396699672,1.00409370080735,0.895102804952833,0.999578615452095,-0.0225556796047659,0.611915760532599,1.29738935017805,0.577783643523733,0.199196642641505,0.56746701165217,0.478697004728756,0.927333360918786,-0.317581661340912,-0.950958445828094,1.30355984812783,0.976188118151576,0.778259415709577,0.995703277397473,1.08621216419046,-0.0312688898409106,0.716848315780044,0.609359353108815,-1.22178656600432,-0.777555522250177
"SC198",-0.13133119658823,0.531209726974182,0.582462293698048,0.463995624407525,0.189148450412153,0.228799925145393,1.49544890834752,-0.165365946571406,0.636383673572014,0.994512161117057,1.13022165919285,-0.97105839980049,0.463181288322573,-1.24704519468693,1.342636751195,0.96407404771378,1.25268073698636,3.13490467127594,0.912780999943894,-0.449036709014554,0.854408751248738,0.445603703514112,0.509045173139288,0.224233015424109,-0.153814634441442,1.82889763397942,0.473814613588622,0.63178314354776,1.29405503656635,0.818277466850685,0.738709452181298,0.837765529802474,0.0318072452309595,0.467899648534516,-0.0354496988114415,-0.0414018483929913,-1.10882811408861,-0.414792742470564,0.0560106647244766,-0.0857927229511074,1.28086942768407,0.171148458130938,0.298313073932998,1.3958556250722,0.548373699840595,-0.198185158984813,0.516476552790864,-1.23952604787246,1.15842811810523,0.90999822283723,0.995471227785759,0.610736427919618,0.502299112499607,-0.11706073884238,0.670925539659113,0.658496700187011,1.03898277534251,0.450501098035764,0.738015796363685,0.760171056132101,0.0255680268248214,-0.201851548377791,1.00840955954449,0.659698474388992,-0.127424205111373,-0.679485916982243,-0.776558256796362,0.114611298040014,0.230680210313943,0.2229703759379,1.32815049298312,0.0454646648000322,1.08506535530038,0.659351135107134,1.14520054935876,0.00315684264515382,-0.616359754973581,0.354041861379835,0.809375795536919,0.907320612593806,0.376180712936631,1.29039958594247,0.158525402354044,0.746151964297868,0.808314967444018,1.11560696812853,1.00014958086997
"SC246",-0.0049107013693055,-0.642192194177871,0.203590839028449,-0.256233271147595,-0.149746974267536,0.781754551727449,-1.32664563319569,-0.700881784638999,0.578696008840489,0.765432509868406,1.43777700942373,0.010162120895886,0.520793915793508,-0.717259974578504,-1.04604833995503,0.556641629711322,1.49512042413801,0.997831953131632,0.0737204958283086,1.0873928312514,-1.32270696633274,0.30065476822449,0.910223416063345,0.684543713274744,0.596577756271908,1.60769089749629,-2.44712036800113,0.501625389483836,1.03544801823466,0.44667585841682,1.00205752767114,0.66454207818901,0.137827827652151,1.07693739524618,1.04864943994107,0.351783923047238,-0.483158348067837,1.53615931635865,0.402558880593602,-0.555585197537507,1.43442141898704,0.628633669200358,-0.238730803080241,1.59390491772223,0.463062063300875,-0.437569260238415,0.43067859453515,1.02903531646677,1.15657089965386,-0.487646518808542,0.141438131909224,-0.942535208631074,0.57514367509719,0.190263962193495,0.212190067885754,0.759499763057235,0.960345787267998,0.965874036698412,0.923259808235125,1.14975122638766,-0.192963472035616,0.922357185571027,0.0845045111168087,-0.0981264542326948,0.219926363654687,0.799874208667398,1.34637056976297,0.0596704823200972,-0.142776994022497,1.66606395618151,1.55542033718764,-0.40322272472749,0.870242699634578,0.39457091556767,1.70732809227263,0.0805057901569517,-0.501939066144623,0.0682036180795721,-0.58093316758107,0.864169304835902,-0.0817396861757761,0.669348839539612,-0.524742382445889,0.45272723599057,0.57427949334675,-1.04729645716529,-0.959118146427925
"SC259",-0.187121178250025,1.2462592928293,-0.849494745675027,-0.00250014997065505,-0.601240622322184,0.780127406681236,0.318612522592981,0.0953827530170762,0.635880595037204,0.0814486887207536,0.478762057209592,0.325448705038927,0.40865961187143,0.210145160043397,0.607281768947778,0.985280811222612,-1.41096296079933,0.362797394515887,0.87790715508578,0.161998174079164,1.0287923573392,0.515732650613147,0.462533169630253,0.416498506162711,0.37783679734008,1.01094646607715,0.886917011777477,-1.26255490813089,0.84963690089015,0.159028969535038,0.380427774622145,-0.281978220774814,0.0313932651714565,0.309584040091889,0.11185456559998,-0.296209267509592,0.251340644855562,0.692162709877431,0.830243390154329,0.971300770187256,0.135352033149627,0.586267415198558,0.30717425498105,0.421059645305584,0.76002089495875,1.0871183326548,0.49354053167353,0.573324979910789,0.683973161931073,-0.0444337579411617,-0.553326723640487,0.801145702152624,0.546407973465549,0.739747609179483,1.04217904100642,0.927337658437523,0.522857616589964,0.777357595877215,1.0025914844842,0.543021995073191,0.179075401448581,-0.396356280431895,1.29575691440461,0.919427681804797,-0.203406509031204,-0.789324592947734,-0.127568656926089,0.0195115038748089,-1.20143212389649,-0.0270569616220456,0.638771383546567,-1.27388511143212,0.557080093206713,0.585401667196058,0.723055673433342,-0.991707592127063,-0.30081451014895,0.0800229588986051,-0.624658645304075,0.0332053141563876,1.18926382392756,0.531360621887816,0.610790099005973,-1.13525149298134,-0.991649734360229,-1.04795558618391,-0.993573609299318
"SC144",0.0888022663422797,0.432029796803761,-0.827428625960529,-0.379726231090972,-0.287358264539267,1.64407647846783,0.19424971144197,-0.800769499008652,0.718582133466207,-0.406419302544197,-1.01666378029407,0.272461072270664,0.1432316263408,-2.17668815567211,-1.05979414554948,-0.261472086202449,-0.44612788031244,0.488499538655517,0.335085073791399,-0.513587824383887,-1.32789271727565,0.00514979398618667,0.484481406799866,0.300828173386734,0.634334927969776,1.406779495982,0.430352958605388,-0.96357611669148,0.902540947093644,-0.776550105602191,0.00420969189201605,0.850220938432173,0.0364478276881398,0.343180177150468,-0.195893318315785,0.645572525039405,-1.04491511230706,-0.944893695509137,0.386997800828479,0.923696684281648,0.609932431028527,0.112677170024111,-0.261640264841054,0.406755674273596,1.28479252068864,-0.178692547119839,0.717158283598973,0.574347335366544,0.386794466823242,0.840822289982346,0.621001123645632,-0.0207097667658437,0.391904001498757,0.432646135263834,-1.56338516269925,-1.98745799444741,0.751702023454042,-0.45547178210424,0.728001123427405,0.666984472857472,-0.132411431795644,-0.0673874750274401,0.08307851921576,-1.18665796323182,-1.10324892758601,-0.85397606091613,-0.949374336582527,-0.298892355055481,0.751866569104535,1.13866319733593,0.830548858666931,0.412274656510227,1.16536727604774,0.351657887631252,0.945631546423354,0.945546149168666,-0.561511988012205,0.798247870292025,0.859819256455083,0.90803850384506,0.209253148503219,1.49270920675999,-0.355366098660717,-0.0829936578466812,1.69104162546168,0.827910220541184,1.13087057436534
"SC300",-0.315202706306768,1.68301075926812,-1.12316244174134,-0.705634248427964,-1.09342469126009,0.810881142307983,-0.985984352529978,-0.0832553630128973,0.515857571964379,-0.340073806807449,0.324131928121394,-0.800774441074569,-0.0147108088888959,0.403149387511299,0.722335604863062,0.0919949241067913,-1.5379777988392,0.416861016292924,0.0729985858947953,0.128101347169217,1.00348609184664,0.164288360203569,0.73187172949588,0.334961799083515,0.24711142873831,0.370734642574395,1.28157480195466,-1.14281045951008,0.473660020261016,0.480571332523317,-0.930562873183225,-1.21889753929591,0.847517543064436,0.705045158712797,-0.914542158273765,-0.185158903830459,-0.755930992847934,0.372998572430036,0.723379289184247,0.493500550917658,-0.399851035819737,0.37843555366428,-1.04672414674422,0.576110922070016,0.697138158263932,1.56922544532062,0.152801166614513,0.534619488210845,0.728878110905884,0.395332545937419,0.05098599562714,0.547151072589977,0.842278835943483,0.0557349110365538,1.077494425601,0.967562094284286,0.342596356481605,0.339424625796456,0.881621543404046,1.03591438388569,-0.176515254463689,0.00905540435451026,0.75236674870814,0.867589340067443,-0.942513081799558,-0.683722011050945,-0.532693136394647,0.0169231932058013,-0.623310610147211,0.219398777232798,0.0730646662189174,-0.478585996144338,-0.113338366393628,0.743385888379479,0.952451309868265,-0.138572375921163,-0.606320915636983,1.29111327811212,0.892745231894268,-0.609830833787613,1.1588265730929,1.82429818780129,0.72527591181057,-1.01261741186779,-1.06075896010893,0.846970354992664,0.62299265313815
"SC260",-0.172745377230017,-0.35568333842801,0.733539793766531,0.583490114961871,0.923887207272852,0.053839106743152,0.616511411588471,1.19123325262621,-0.709393792316017,-0.582834844929711,-1.35833365305708,0.216907140638587,-1.53095405638009,-0.0853558443520024,-1.06901161171472,-1.08060745012187,0.956285463203891,-0.0703536601201688,-1.27938606901942,-0.62906132648303,0.731541059016412,-0.0581091790263447,0.19500786966782,0.250098604354637,0.129720336447743,-1.63363265382025,0.244746300455064,-1.18552193351247,0.20128915903815,-1.48975970400487,-1.58283815177917,-0.661767184298797,-0.406552314853854,1.29403225842492,1.45013460599491,0.169102718844104,0.127211860078431,0.549967594805784,0.528366765034518,0.907434154049951,0.722066617316893,0.232530875126061,0.535264452550499,0.824207219685944,-0.0622372535011485,0.877372961314036,0.427461656652367,1.24724535610909,0.986498610920118,-1.46222566747618,-0.564331877959142,0.839250638133486,0.425079969533178,-0.738015362315843,-0.0482565513274587,-0.123185748158912,-1.8196165657983,-1.38929130182204,-1.22365005124511,-0.751818234518988,0.0136037065866657,-1.88607371952789,-1.07987728623229,0.451901745819337,-0.886535578620931,0.365548237676888,-0.186956011184252,-0.207508272584161,-1.81039458583177,-0.758679046534175,0.419965736253101,-1.62306025510941,0.534438501168802,0.218230517204266,-1.02100845408486,1.35216098036229,1.31435626841778,0.871174799943414,0.159060032066739,-0.0703867178870073,0.233204075934793,0.0578714543896064,0.231038431335045,0.745735956496603,0.466637960147616,0.810062586619759,0.155535969552588
"SC222",0.100962030242739,0.870760880440134,-0.020642658980928,0.115620844943299,-0.44968882040047,1.04939198731182,-0.383814560949446,-0.226196486856726,0.71205879890544,0.676254901548899,0.715469218369024,-0.0685363011255455,0.405146752693464,0.518747098815097,1.26804745057741,0.517559023519786,-0.505684298215168,0.817609678686563,0.682293960463371,0.559487155660374,0.978038181402722,0.301597896738105,0.430840304171886,0.788537286298881,0.752943025764237,1.54287114053386,1.36114877309208,-1.02273130296368,0.681684936134792,0.830440470803343,0.0555059447079745,0.275303808419859,0.448606810482541,0.0746967899652558,0.387735666509501,-0.592171394049091,0.381906170050411,0.782456987246887,0.213827053262485,0.214553420405941,-0.464619464213462,0.196549979234814,-0.694930683967793,-0.440309437819724,1.42701179729944,1.12955168761538,-0.0370554278810453,0.465219449840294,-1.34619198182251,0.650993415044567,-2.04089747833929,-1.2268435541104,-0.514668230065517,0.274857388681854,0.184593116620676,-0.134553689906299,0.800728073072617,-0.585975580165625,0.898404528813982,0.900694550020974,-0.462892343893673,0.0534816618997457,1.25431053896191,1.16017415687757,-0.011739417631975,-0.537170767523217,-0.750501923865253,-0.0219973214170868,-0.925937892182179,1.12603559515954,0.932948720616705,-0.803489023387525,0.364527611236464,0.651197777685939,0.830149667847337,0.459166847850134,1.12945128408031,0.981209835554772,1.29118416221012,-1.53393366260599,-1.49165974255912,-0.668529285894334,-0.930909422496133,-0.190375908171385,1.30763545142275,-1.09014798319246,-0.981402141884784
"SC266",0.115011950241281,-0.0575217050366053,0.640661538372447,0.14626353822386,-0.096912353497556,-0.106220411906115,-0.451571188933707,0.46975453951342,-0.565632900388325,-0.178986887487313,-0.988214211330563,1.01766129100937,0.284139778353577,1.39477736342157,-1.06473521588044,-0.697874068640193,1.07283620216913,-0.0736291117474883,-0.306285016020763,1.0142966676447,0.843240697186137,0.0419528760893378,0.0898505634132049,-0.199574819501669,0.0919827765404267,-0.176508519326247,-1.72264275278024,-1.16932018788186,0.951160904478487,-0.717058700532641,0.71727681127776,0.481331306312452,1.12835545379056,-0.344020056682258,-0.114634259270148,-1.15291435739074,-0.642063681488986,0.799344277665785,1.4260906703534,0.935953820130619,-0.298707093282785,0.725321999572402,-0.46137038780061,0.812276310437203,-1.30993147224984,-0.00799243501420258,0.474948130072488,0.250758265580661,1.40552820817422,-1.15438282111857,0.605879739314897,0.663347904212455,0.658547068225938,-0.119774927186854,0.704988397617309,0.658346587666508,-0.0249103245463725,-1.03578870320164,-0.980924805751274,0.0633524040313666,0.0641807571307898,0.37291069312025,0.451065401506839,0.804227623329616,0.264336623953943,-0.215494783452051,0.73294955847133,-0.0880749114716648,-0.778102414393383,-0.604250193664958,0.664684443484234,-0.673767954712597,-0.609674728905424,-0.422522887559125,0.0534151515746925,-0.664403898543975,-0.199817205012786,-0.562516192037612,0.298712653152672,-0.640852535843669,-1.76824441635478,-1.26931014800243,-1.39274679296837,0.0966985645728092,0.318016636533301,0.134482504567133,0.927989337386287
"SC267",-1.9319595174065,0.465596252332845,-0.0740744310797794,0.602644602479351,-0.738394757283676,0.90253931049954,-1.05099284611478,0.663839475484791,-0.397385375373301,0.754455004393418,-0.0905175219644097,-1.34823802907326,0.482945516332257,0.735277649489874,-1.05841003545793,-0.136913168033781,1.32419008610156,0.421327290127703,0.205043816594049,0.794960852748739,1.23985569364138,0.28934905631919,0.658441440186803,0.519350637778063,0.0571419795712866,0.211563312791778,-3.00995085499328,-0.0473197432983278,1.06269622169143,-0.0202038175426817,0.69239507298594,-0.431092370002586,0.497266474754142,-0.244996486417891,0.653421910750148,0.117002723694852,-0.104828396838061,1.55484518939892,0.856021752047248,0.355791746030604,-1.44483425605527,0.121788572755147,0.999554868623586,1.29340492189583,0.430361313951633,0.333102526154345,0.213405850913295,1.13774238024836,1.95801113004683,-0.942533245465007,0.7164874271697,0.764558490311416,1.26951075141484,-0.223155078016659,1.14042301856348,0.673563331106978,0.331785083090117,1.33879102106658,-0.230769119829786,0.291765164214072,0.118749272535464,0.329367097895228,-0.621631382131507,0.356535362921164,0.601187433084112,0.567975076651131,1.3322811124451,0.104166599030431,0.543098338907506,-0.477233047796297,0.800471097129186,0.107952558437612,0.874184023562817,0.200862808275283,0.684235352356943,0.240891345808122,1.51245425184955,-0.400601350668836,-0.713111385803077,1.6637568065836,0.854437541864964,0.0932614151580758,-0.830990931335472,-1.06324961852303,-0.955251215009391,-0.938876540315204,-1.17256119706263
"SC272",-1.74339761565082,0.798641879623986,1.67589443463205,1.27464853552872,1.04302015074687,-1.4615701855283,1.65835491773328,-1.12681392649933,-0.55468832959986,1.06331361018043,0.863328141451225,-1.33220153541765,0.756249158373411,-0.151651475302659,-1.05536965091112,0.574873919691274,0.919807616853547,0.295722091529305,0.902778033288251,0.840051885460872,0.560757184569542,0.382523118791548,0.480628203401691,0.365359989352644,0.343554499919585,-0.380950402558221,-0.715073058599967,0.198166198999518,1.01199939604809,0.781535519863825,0.553766515651475,-0.673742221933515,-2.28102071890851,-0.0605011237542488,0.64165235569126,-0.312171136838244,0.553033531794643,1.05629975937762,-1.97932212054274,-1.59971018190493,1.21856570544284,-1.15452393452485,1.25596218035887,-0.841710628255469,-1.09055676987408,0.353329304557577,0.331425944435692,0.811309668020283,0.833763502609054,-1.7805491386248,-1.17077736590817,-1.33649169038692,0.320130499637469,-1.08106576565252,0.732452163821862,0.0204893286620128,-0.765002722615288,1.46237561669503,1.02582183792508,1.2831269601983,-0.362187553458112,0.902656652543477,-0.490209990384273,0.11847376703735,0.448394878369963,1.00803152606346,1.2616812830453,0.54212989777684,1.32603791244792,-0.841139558624309,0.531264832978247,0.864724638710262,1.08051121324603,-0.166511370197467,-0.663491663927869,1.32396209201927,2.60126270707544,0.157505049935573,0.274523264619732,-1.0891444452119,0.232634936122489,-0.44027947522286,-0.212162652031466,0.516305887855653,-0.94649373100134,0.883449438404439,0.617253689414094
"SC275",-0.970567205391559,1.43346896059523,-1.36077703715307,-1.02263308986512,-1.0587183117251,-0.0386936834941429,-0.401606270115156,-0.721119920784403,-0.549776942677618,-1.21431066458024,-1.1421842241847,-0.414448076899633,-0.608456788688086,1.04881018581404,-1.06965460607881,-0.180341525734935,0.564687594790846,0.354978256709678,-0.958833483660962,0.854556225358484,0.876351983987291,0.18662057385968,-2.96866957560307,0.222433860541747,0.310956060495913,0.0440084249457153,0.867111747884606,-0.216648610239766,0.756355691494793,-1.34118721356955,-0.793752895304554,-1.1496665343457,-0.122297772136786,-1.78573366704957,-0.116910960036466,-0.384065996003381,2.91551931438556,1.40257836367027,0.290441486743858,0.35432647132331,0.876843871895667,-1.65820195718855,-0.198662429951714,-0.92642633552678,1.17567361908898,0.965671061287895,0.497821223722153,0.992083090736036,-0.720698152170085,-1.83084261678897,-0.919361993691636,-1.12529527097925,0.66619856305916,-0.131313969047258,-1.03553992952327,0.550139131164401,0.551133263014265,0.354230843965391,-0.986971403823557,0.723411386671805,-0.0819735895633301,-0.44055799589915,1.88267433187406,0.739218522900122,-1.46086323592343,0.723101800588958,-1.21079696249757,0.0805522910851201,-1.77996408529912,-0.294469119097486,0.23594713803429,-0.788080809449131,-0.294077821002113,-0.150088489102324,-0.996613301825425,-0.679331378085623,1.28937060433183,-0.67347509809852,-0.270051082312365,-0.510084604949642,-0.0965229864022821,-0.105306728365707,1.37216181685931,-1.24007098218632,-0.964794560492288,1.2259556871718,-0.172634734435084
"HJ809",-0.932205121280784,0.701370541345623,-0.321594363761879,0.588140511270759,-1.02611551378553,-0.94308450154843,1.02421935070418,-0.0303922282498182,-0.467092494716419,0.0521222306163206,1.14592256826386,0.813587119894959,0.243616212811987,0.506156837214619,1.12842413091065,-0.307668809407673,1.43487716052405,0.288946742578864,-0.910368938774292,1.03739611851692,0.514069145228294,0.143739037543275,0.182975386658156,0.213210865601856,0.357515910383631,-0.938544436722083,-1.23157674489579,-0.29293826665091,0.153572414311177,0.395996407827345,-0.100950821492668,-1.5254491067467,1.0691057467939,0.644243450133194,0.173745499047895,-0.116309047781713,0.291455056889328,0.804299892958698,0.169210137014008,-0.168608627686881,2.19358479530769,-0.677847569585722,0.260832756992442,1.24863904250019,-1.22543573255929,0.0385720803849663,0.724320332061963,-0.261194070070877,1.0825672187646,-0.384914322544358,0.767642156743127,1.01570582644049,0.409952862378185,0.620573532358426,-1.69466760401172,-1.71283789070327,0.436706542400907,-0.340898659969947,-1.25762892956721,-0.237519086633168,0.584051461454451,0.619869664648717,-1.4833578588413,-1.59976440022695,-1.85441190245066,-1.80195903861732,-1.21057954149026,0.344893258799467,0.737200164696081,-0.856823059150917,0.337521015552097,0.942259461621328,0.112816418136367,-0.000368484589550015,0.700128423331576,1.25044038093751,0.163874868384395,-0.020006843698701,-0.0554598193878712,-0.0138971097184006,0.67633238770668,0.1580228992744,1.42256944712772,0.521432768128298,0.564131470985283,0.859569998517776,0.578815410867447
