"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12"
"SC126",-1.05968277384966,-0.346096028287829,0.548822345279048,0.560141846694591,-0.462749111216291,0.918172068005584,0.99598528426507,0.685746639314526,1.16664223987089,1.05886865802971,0.159221447299263,-0.969897557320385
"SC198",1.34022908248702,0.762034012029736,0.386152173470006,0.901343878059488,0.926577233480661,-0.767400521768898,0.211252922926855,0.880781001482849,0.814851384378675,1.35403515867009,0.374872772805087,0.851338810994847
"SC246",-1.06351953885489,0.0526806119165926,0.932244906713024,0.408764848671118,-0.705209839128126,0.992802816630923,0.728468154896615,0.0838287549632017,0.191453491414047,1.42311319019203,0.293375274749581,-0.970997236542748
"SC259",0.61119018251992,-0.257255000430536,0.245021353021084,1.15511983766969,0.182728520261395,-0.449947108489921,-0.415470464235488,0.152794640191309,0.274119733720646,0.26276852278803,0.185483851844649,-0.960279784712426
"SC144",-1.05823810046351,-0.264736377823368,0.377767879763727,-0.065525518072936,-0.138811535821714,-1.0037107700241,-0.770581431832972,0.616674483472169,0.740126135332112,1.2867773451021,-0.0127434447750947,0.826181028378683
"SC300",0.731334423911938,-0.380568183786953,0.432806419215896,1.05871862045387,0.383583575917993,-0.576884630500909,-1.20529187484911,0.217620295517628,0.211234171797677,1.79552907789806,0.164172912435452,0.76819089289426
"SC260",-1.06515846218665,0.10847302964328,-0.0395709081600198,0.20634376039526,0.408207032957954,0.0983078480841426,0.053865035426882,-1.17506619726731,0.175225325550161,-0.188144388553855,0.0113143936773223,0.587679695768758
"SC222",1.26705293975667,-0.598785519784456,0.762421851132541,0.757242881717027,-1.02876482554172,-0.759264382989625,-0.276948135724097,-1.33753187921607,-1.18901903360759,-0.785152332190747,0.182456839169629,-0.963816965796135
"SC266",-1.06693114400135,0.358085483739808,-0.0141094795217331,0.495940111968078,0.217953230805977,0.509453689548618,0.0730526891433621,-0.148113957697147,-1.27530983114339,-0.915486590508991,0.0688688585345423,0.319446811343589
"SC267",-1.06154560716007,-0.291405307544904,0.211021592131002,-0.172790906956037,0.296951849196577,1.04179762996648,0.583007550107689,-1.39873935994214,0.608923708756485,0.376387480141959,0.293171416135993,-0.96788774263149
"SC272",-1.06480394209085,0.0156993153745093,0.473389995975397,-1.05999526454457,-1.35250201149671,1.28469922023527,0.669518273532475,-2.09414022691073,-1.29796300526838,-0.460091198636051,0.313361263052564,0.846545125783947
"SC275",-1.06460001678938,0.033028744319539,0.123999789043255,-1.57265894194777,-1.0788371921008,-0.872406469301213,-1.4002121185114,-1.46652024475479,-0.38303315909931,-0.96693169278191,-0.126754206303522,0.797615616873259
"HJ809",1.11233041938612,0.140466343669305,0.626068594610916,-0.864154687474257,0.946972167376708,-1.62679839418765,-1.33493583034221,-0.249321491259745,-0.0248431151425684,0.196167364191914,0.153803337131248,0.703493280528204
"HJ867",-1.06810538748534,-0.542402660194504,0.0189949322268022,-0.958542388714292,0.0153767619784356,-0.544509763874899,-0.109003273987515,0.118109581415229,-1.28686730087322,-0.966753039631806,-0.1904990643877,0.640020279852723
"SC361",0.975804042747421,0.561810647421944,-2.94994652939357,-1.31721431418806,-1.32049573618829,1.59897833254579,0.41935154747356,0.384800707648094,2.19189828991805,-0.974765802159196,-0.566759361788555,-0.654821775272092
"SC388",0.894263245554759,-0.743364591544261,0.488237902383007,-0.700878769629568,-1.28894507878937,-0.0161228040303765,-0.391810859058033,0.811415383239395,-1.35596458592148,-0.990197551718881,-0.119593270336718,0.181942649394051
"SC391",0.807761962379973,0.0801859307407959,0.0739199461333342,0.963255042641106,0.900014964612118,-1.02535451639979,0.464611956766342,0.478608660891194,0.324367526745145,0.694309389917823,0.034689826361845,-0.981143674203716
"SC424",0.684284756602905,-0.448550686405836,-0.749056556318819,0.643119035746843,-0.830765597314938,-1.08621460277649,-0.801652635783076,0.00449655768617929,0.314584210667428,-0.0038457408563876,0.127697665126818,1.04079041712282
"SC442",0.517222600780589,0.230491725995073,0.194035696032786,0.794579753873445,-0.385449919214224,-0.672294156028356,0.447875527928354,0.659955417425078,0.780842787779485,1.19102395418449,-0.318692122881875,1.16174869570793
"SC443",1.3704636491363,0.652524644796644,-0.140139651814472,-0.925915721066091,-0.0655415126954264,-0.100319162577731,0.48241955963958,0.623173406706236,-1.235653810871,-0.906654211555486,-0.349331166245296,-0.978346347702791
"SC457",-1.0532884468029,0.29620628334729,-0.0628338044543873,0.0927708784313703,0.573276818131751,-0.892361142240039,0.0154237222808196,0.98342393744435,0.935055046388927,0.124872417582484,-0.373380356504604,-0.970840063536332
"SC455",0.529390801998091,0.615603562740238,0.229449322109959,0.536117446298502,1.08064548385466,0.608225908424484,0.449196231329492,0.886809950825785,-1.35994914026962,-1.09639951699419,-0.604511169939444,-0.975819525208497
"SC389",-1.0544034876676,-0.204929813378531,-0.0127479096618911,0.50869541112259,1.03900340112205,0.910901610025514,0.759352285208104,0.0153792807865915,0.0668514135515337,-0.699323325323314,0.283071722284704,0.675703699289814
"SC408",0.532310442648677,-0.0766455903375412,-2.32355214909447,-1.01186616726521,0.814050698339953,0.861931017279824,0.454358176198377,-0.830742686147828,-0.392798087240025,-0.671462972621933,0.0112509202033402,0.104354531500356
"SC409",0.510663851586643,-0.243619187197464,-0.494403730543464,-0.0022911596989175,1.00205646519967,0.846227413052633,0.741612500140012,0.671875764144738,0.44913512803381,-0.912685682828986,-0.0919275710644149,0.570081748321472
"SC445",-1.06385467598434,0.38661954242886,0.496872029716116,-1.22423697445177,-1.18940575223302,0.136542732583534,-1.2078117695976,-0.121937716750957,0.104904891109956,-0.640645360455674,0.0182084440936362,-0.363514825274056
"SC446",0.859829181839518,0.10444906855257,0.165133990004931,0.793917460266491,1.06007990850471,0.585548138807195,0.364366976657924,0.546619296792169,0.451185584421555,1.41468684811871,0.0791707893215498,-0.317767785554053
