"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18"
"SC49",2.3283570843077,0.324579373765124,-0.0216263342560208,-0.0346951069056743,1.60763321122295,1.52149551015103,0.260302971214602,2.10513116522058,0.954455136285956,0.996543494709987,1.27875839560975,2.90208653432447,-1.33556218084406,1.46889185341922,1.37491629862398,2.08483346156997,2.45027765698332,1.49595435781003
"SC60",3.6603133867064,0.610882265442107,1.21339815865535,1.77981588140257,1.79860552935895,1.60205957189647,0.126890506879166,2.3286232231915,0.879400455259792,1.3163220450903,1.14732282062576,2.91318546145691,-1.44181841692078,0.576423501865444,1.3257870262322,2.15373110498881,1.98449587375734,0.105394420943494
"SC70",2.81133023306862,0.273225219593109,1.18973088850522,1.99394166347007,1.6245896796149,1.48068910867384,0.445813755051648,1.99270177951237,0.58986321284033,2.6769912137271,0.959330438575266,2.56890062347518,-0.793128225723471,1.27713784783498,1.6147618387562,2.25973107902394,1.82068265212712,0.0724763711613349
"SC69",4.10584148198108,0.49613506818614,0.357698234959371,2.21888596309178,2.38027264407594,1.90462458370965,0.556406491247665,1.57722255157396,1.01950072260494,2.31812638743511,1.17019794103567,1.15421164086383,-1.10489574815115,1.59449382373051,0.912177941147303,2.56317995338864,1.5870297044149,-0.0073439752274331
"SC86",2.96561237520183,0.228136882056795,0.858513224208606,2.01534046738706,1.2748543357515,1.41765656157871,-0.0943703329054507,1.01600144778612,0.906787453266994,1.59265965141407,1.05275437516143,3.07113393191908,-0.111790944654657,0.589287094503496,0.752626836356183,2.2856747985303,2.82626972543242,1.39496654206884
"SC119",2.76848955228647,0.381534977725347,0.504923855357783,1.82944640146884,1.64721800732115,0.184741731924875,0.380738971106442,0.922184887284118,0.599806059158281,1.39374687766168,0.710295300594048,3.00204693225445,0.0910311778774189,0.517327153812151,0.855372403840542,2.35202332298676,2.2136565955075,1.41200425631805
"SC185",2.54960749187834,1.01977578823872,0.745415701945472,2.02073886202866,1.26624936182071,1.27566546348063,0.793918372744156,1.58614424205364,0.859459197810048,1.50403981000862,1.24202950451076,2.56047517235556,-0.335512774799735,0.570212893259107,1.5533434409023,1.87355547497664,2.11709377740499,1.54650840847288
"SC188",3.41688079380509,0.834780985392241,1.39465664245735,2.26814521295598,2.28924957869984,0.59353817823501,0.436177300902671,0.914226962606495,0.903666569190887,1.05186414325863,1.16108246883309,2.72945247809786,-0.317223669642324,1.91839534473026,1.5756558104278,2.33870997387873,2.55114822959786,1.32813877968913
"SC189",3.46083749265056,0.487765824323498,1.03268996761409,2.14588291840011,2.1719965950966,1.56859814791215,0.451347577648075,1.74158706369643,3.67728324850096,1.39237051607008,1.15678384175874,3.5061011308633,-1.87907291433729,1.63703970528267,1.23825870923138,1.79577926726035,2.41393630547125,0.0478812155223874
"SC159",1.87269363596916,0.494880904584678,1.54274333150907,2.07551345233285,1.44451886663156,1.21585886782198,0.620798350790291,0.769377856273431,0.571743013568229,0.562905115335928,1.18094743178404,3.85347201654252,-0.314832999334089,1.53717087742652,1.09480242644029,3.16446802623683,2.91178341419781,1.15785964807219
"SC160",3.04648420564614,0.181757683610696,1.11410839048642,2.32642372366009,1.55130194487817,0.355002137201851,0.604584806189523,0.539859161055973,0.507814736643659,1.89448703725044,1.381537535555,3.29473213889523,-0.273446852130493,0.889878834992165,0.990190727498974,3.26181104646177,2.46506808805028,1.14400163637058
"SC163",2.15508490898503,0.250643022686308,1.22532136216599,1.93145154530409,1.39837381969561,0.88037074938126,0.53128900692209,0.617551419565455,0.764751431577614,2.59354934340756,1.16116661763003,1.95881852117382,-0.260291539369271,0.423014272170286,1.71810885120434,2.31159068204376,2.78363704482054,0.131174446245589
"SC169",1.66018321620315,0.221850451362359,1.24494459638266,2.35822827637569,1.43763897462479,1.5042582838254,0.521360652242872,1.05607070709315,0.511278199696687,0.979586018745446,1.24848023610986,3.04587476115947,-0.470869582193313,0.383231285064016,1.4412553265643,3.38972511781387,2.73270962170555,1.33093537664292
"SC164",2.04939624384582,0.310067637637915,1.39156588327777,2.02949439169462,1.19443937566258,0.955297097436901,0.674763220329887,0.426061346452719,0.59913776464542,0.74683499416264,1.23435101047321,2.69383195111263,-0.0526778571717968,0.503464845561017,1.1980590710758,2.38461302124918,2.90116079038439,1.19530908192941
"SC184",2.64103247596012,0.455973009868401,1.41330714078382,1.85952228157229,1.6416602797666,1.78613294567078,-0.304005889836861,1.7629349782978,0.968925264922069,1.53150951998284,1.26835935368346,2.94973046438076,-0.556042387978091,1.14303472575897,1.38681862473575,3.37928314404247,2.55585212410357,1.58157279898223
"SC202",2.41746036636086,0.687921879846398,1.60817802370272,2.14425736862116,2.43555453730459,1.27075612712647,-0.0729794191505858,1.11188425357095,0.854489530088491,1.68462494441511,1.42993203670955,3.28312744174841,-0.533096561732742,2.47817615013398,1.41479506827597,2.49129522144238,2.78910753466718,1.37936573611709
"SC212",1.88347683548347,1.97085171766168,1.37084051130022,1.85015339755968,1.38809768104303,1.68467208292407,0.66488870423594,0.0948069968466187,1.32297896989332,2.16536034722592,1.35488710345763,1.29664430027561,0.0984337546256448,0.231334208823131,1.52209302337953,1.9029737944006,2.96548987108549,-0.0112624140728741
"SC226",3.0617321492116,0.460626128507158,1.03661853766969,1.93386421119719,1.5358772497598,0.594704626279858,0.118044957250568,0.934748997014561,0.598575070698438,1.59590302202377,1.17705780142968,1.39826779098485,-0.948724570165661,2.11414364210599,1.21534752436095,3.10909613996661,2.75974650224763,0.154780859781892
"SC224",3.06501244947991,0.18522394458786,1.55782527842806,1.81985731354982,1.6487255772423,0.305482761489225,0.613406372335856,1.56624673932156,0.585637122093974,0.835297702779177,1.28829586021973,0.739168539274105,-1.42781543231063,0.522510333667253,1.17289413939892,3.01127546527498,2.73271615798742,1.41866157547855
"SC237",3.10369093613642,0.243299372654965,1.33010699182565,1.92758344692857,2.43166685258644,1.63857931588187,0.849382625966631,1.18034667608082,1.03660267703796,1.72315501550615,1.24316036021924,3.69325125746875,-0.881195592550799,2.45057755110885,1.88415696705018,3.3890404014394,2.71951601271288,1.3967013850245
"SC247",3.09391345646361,0.202594027328724,1.08855268500745,1.90335261006795,1.71037705542266,1.54962798027219,-0.278053181234933,1.29291314071715,1.15535652741897,2.02035343677396,1.21184377181373,3.67275480093878,-0.743527129109208,2.30775934699076,1.29084553706119,3.44693688679082,2.71596230754379,0.0462662483340191
"SC229",2.01077683824545,0.447552922125399,1.40332233036033,1.68151781571959,1.34078932592177,0.59986438789524,1.03927586049991,0.655823593679923,0.582513325082362,2.54838495340835,1.16016572963014,1.3028566708216,-0.508672167339689,0.473114318377032,2.00889637802636,1.76765446479688,2.86370337106097,1.35275500336592
"SC230",3.41762044345889,0.301247476502856,0.226606230014884,2.44811066779147,2.30748391306498,2.17036131090502,0.974749414919774,1.98656800402317,1.99737429749477,2.47018312733648,1.18233915029012,2.89145100680511,-1.15224796450032,2.22246531162409,1.67931280322337,1.77678806289287,2.19455133940518,0.075176082240685
"SC240",4.45322409111053,1.24815747477248,0.724467166342145,2.36119804700637,3.13596415689671,2.10010068741037,0.548639856243027,1.39079890300163,1.15349278760876,1.87804020147631,1.16863227703112,3.92411404777461,-0.581518753590847,2.69136657685463,1.37780346514757,1.95173710461847,2.5122166693304,1.36315904906784
